eu_sdg,table,table_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DE,Germany,2008,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DE,Germany,2009,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DE,Germany,2010,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DE,Germany,2011,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DE,Germany,2012,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DE,Germany,2013,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DE,Germany,2014,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DE,Germany,2015,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DE,Germany,2016,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DE,Germany,2017,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DE,Germany,2018,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DE,Germany,2019,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DE,Germany,2020,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DE,Germany,2021,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DK,Denmark,2000,0.057,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DK,Denmark,2001,0.055,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DK,Denmark,2002,0.056,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DK,Denmark,2003,0.053,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DK,Denmark,2004,0.054,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DK,Denmark,2005,0.048,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DK,Denmark,2006,0.053,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,DK,Denmark,2007,0.049,
